,,STOPS MODEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC Collected Data (Flagler),,,,,,,,,,,,,,,
FID_1,ID,STATIONSEQ,STATION,STAT_CODE,STAT_GRP,GRP_NAME,DAILYBOARD,STOP_ID1,STOP_ID2,STOP_ID3,STOP_ID4,STOPSTYPE,NEWSTATION,Agency,FGSTP,STOPSTYPEB,PNR_PEN,DIFFGTFX,WALK_PEN,SAMEGTFX,STPID,KNR_PEN,BoardingBC,LAT,LONG,WPenBK,PpenBK,KpenBK,POINT_X,POINT_Y,FID_2,ROUTE,DAY,DIR,STOP,STOPNAME, DAY_ON , DAY_OFF , DAY_TOT , LAT_1 , LONG_1 , key , District , Distance , Difference ,bin,include.lowest
3054,16244,14344,NW 36 ST@NW 9 CT,D36S##96,46,MI_FRG,35,7760     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7760,5,39,0,0,10,5,5,-80.21096,25.80987,2951,36,1,1,85,NW 36 ST NW 9 CT, 11 , 12 , 23 , 26 , (80), 36-NW 36 ST NW 9 CT , NA , 0 , 12 ,0 to 20,TRUE
558,10929,9029,NW 79 AV@NW 52 ST,D79V#521,49,MI_OTN,0,1752     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,1752,5,0,0,0,10,5,5,-80.325513,25.820363,2848,36,1,0,86,NW 79 AV NW 52 ST, 1 , 2 , 3 , 26 , (80), 36-NW 79 AV NW 52 ST , NA , 0 , (3),-20 to 0,TRUE
3055,16245,14345,NW 36 ST@NW 7 AV,D36S##75,46,MI_FRG,91,7761     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7761,5,100,0,0,10,5,5,-80.20807,25.80995,2952,36,1,1,86,NW 36 ST NW 7 AV, 44 , 61 , 105 , 26 , (80), 36-NW 36 ST NW 7 AV , NA , 0 , (14),-20 to 0,TRUE
3220,16246,14346,NW 36 ST@NW 5 AV,D36S##56,46,MI_FRG,35,7762     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7762,5,39,0,0,10,5,5,-80.20303,25.81012,2953,36,1,1,87,NW 36 ST NW 5 AV, 9 , 27 , 37 , 26 , (80), 36-NW 36 ST NW 5 AV , NA , 0 , (2),-20 to 0,TRUE
3221,16247,14347,NW 36 ST@NW 2 AV,D36S##25,46,MI_FRG,46,7763     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7763,5,51,0,0,10,5,5,-80.19989,25.81021,2954,36,1,1,88,NW 36 ST NW 2 AV, 12 , 85 , 97 , 26 , (80), 36-NW 36 ST NW 2 AV , NA , 0 , (51),-100 to -50,TRUE
3236,16203,14303,NW 36 ST@NW 2 AV,D36S##28,46,MI_FRG,127,7719     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7719,5,140,0,0,10,5,5,-80.19973,25.81041,2954,36,1,1,88,NW 36 ST NW 2 AV, 12 , 85 , 97 , 26 , (80), 36-NW 36 ST NW 2 AV , NA , 0 , 30 ,20 to 50,TRUE
3228,16248,14348,NW 36 ST@NW 1 AV,D36S##16,46,MI_FRG,12,7764     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7764,5,13,0,0,10,5,5,-80.19714,25.81029,2955,36,1,1,89,NW 36 ST NW 1 AV, 4 , 12 , 16 , 26 , (80), 36-NW 36 ST NW 1 AV , NA , 0 , (4),-20 to 0,TRUE
3229,16249,14349,NW 36 ST@N MIAMI AV,D36SNMV5,46,MI_FRG,1,7765     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7765,5,1,0,0,10,5,5,-80.19546,25.81035,2956,36,1,1,90,NW 36 ST N MIAMI AV, 0 , 1 , 1 , 26 , (80), 36-NW 36 ST N MIAMI AV , NA , 0 , (0),-20 to 0,TRUE
3240,16200,14300,NE 36 ST@NE 1 AV,A36S##17,46,MI_FRG,166,7716     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7716,5,183,0,0,10,5,5,-80.19285,25.81061,2957,36,1,1,91,NE 36 ST NE 1 AV, 7 , 162 , 169 , 26 , (80), 36-NE 36 ST NE 1 AV , NA , 0 , (3),-20 to 0,TRUE
577,10944,9044,NW 87 AV@NW 53 ST,D87V#534,49,MI_OTN,8,1783     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,1783,5,9,0,0,10,5,5,-80.337742,25.818912,2854,36,1,0,92,NW 87 AV NW 53 ST, 1 , 7 , 9 , 26 , (80), 36-NW 87 AV NW 53 ST , NA , 0 , (1),-20 to 0,TRUE
440,10219,8319,NE 36 ST@BISCAYNE BD,B.B.36SE,46,MI_FRG,7,296      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,296,5,8,0,0,10,5,5,-80.189901,25.810546,2958,36,1,1,92,NE 36 ST BISCAYNE BD, 3 , 146 , 150 , 26 , (80), 36-NE 36 ST BISCAYNE BD , NA , 0 , (143),-500 to -100,TRUE
442,10400,8500,NE 36 St & Bisc Blvd,36STB.BN,46,MI_FRG,39,593      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,593,5,43,0,0,10,5,5,-80.189444,25.810634,2958,36,1,1,92,NE 36 ST BISCAYNE BD, 3 , 146 , 150 , 26 , (80), 36-NE 36 ST BISCAYNE BD , NA , 0 , (111),-500 to -100,TRUE
4645,18059,16159,NE 33 ST @ BISCAYNE BLVD,A33SBBD6,46,MI_FRG,0,10373    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10373,5,0,0,0,10,5,5,-80.18918,25.80767,2959,36,1,1,93,NE 33 ST BISCAYNE BLVD, 3 , 159 , 162 , 26 , (80), 36-NE 33 ST BISCAYNE BLVD , NA , 0 , (162),-500 to -100,TRUE
576,10397,8497,NW 36 ST@NW 87 AV,36ST87AS,49,MI_OTN,5,589      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,589,5,5,0,0,10,5,5,-80.338872,25.810302,2856,36,1,0,94,NW 36 ST NW 87 AV, 2 , 27 , 29 , 26 , (80), 36-NW 36 ST NW 87 AV , NA , 0 , (24),-50 to -20,TRUE
579,10978,9078,NW 36 ST@OP # 9100,D36S#917,49,MI_OTN,0,1823     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,1823,5,0,0,0,10,5,5,-80.344587,25.811146,2857,36,1,0,95,NW 36 ST OP # 9100, -   , 1 , 1 , 26 , (80), 36-NW 36 ST OP # 9100 , NA , 0 , (1),-20 to 0,TRUE
4776,17707,15807,NW 41 ST@NW 97 AV (W/F),D41S#978,49,MI_OTN,3,9581     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9581,5,3,0,0,10,5,5,-80.35372,25.81176,2859,36,1,0,97,NW 41 ST NW 97 AV, 1 , 22 , 22 , 26 , (80), 36-NW 41 ST NW 97 AV , NA , 0 , (19),-20 to 0,TRUE
4784,17706,15806,NW 41 ST@NW 97 AV (E/N),D41S#975,49,MI_OTN,44,9580     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9580,5,49,0,0,10,5,5,-80.35376,25.81148,2859,36,1,0,97,NW 41 ST NW 97 AV, 1 , 22 , 22 , 26 , (80), 36-NW 41 ST NW 97 AV , NA , 0 , 22 ,20 to 50,TRUE
4777,17708,15808,NW 41 ST@# 9915 (W/N),D41S#997,49,MI_OTN,1,9582     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9582,5,1,0,0,10,5,5,-80.3559,25.81178,2860,36,1,0,98,NW 41 ST # 9915, 1 , 3 , 3 , 26 , (80), 36-NW 41 ST # 9915 , NA , 0 , (2),-20 to 0,TRUE
4779,17709,15809,NW 41 ST@NW 102 AV (W/F),D41S1028,49,MI_OTN,3,9583     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9583,5,3,0,0,10,5,5,-80.36214,25.81177,2861,36,1,0,99,NW 41 ST NW 102 AV, 1 , 5 , 6 , 26 , (80), 36-NW 41 ST NW 102 AV , NA , 0 , (3),-20 to 0,TRUE
4778,17976,16076,NW 41 ST@# 10783,D41S1077,49,MI_OTN,4,10225    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10225,5,4,0,0,10,5,5,-80.37131,25.81179,2863,36,1,0,101,NW 41 ST # 10783, 10 , 17 , 27 , 26 , (80), 36-NW 41 ST # 10783 , NA , 0 , (23),-50 to -20,TRUE
4792,18018,16118,NW 114 AV@NW 41 ST,D11441S4,49,MI_OTN,1,10291    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10291,5,1,0,0,10,5,5,-80.38165,25.81126,2864,36,1,0,102,NW 114 AV NW 41 ST, 1 , 17 , 18 , 26 , (80), 36-NW 114 AV NW 41 ST , NA , 0 , (17),-20 to 0,TRUE
4789,18007,16107,NW 39 ST@NW 115 AV,D39S1156,49,MI_OTN,1,10277    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10277,5,1,0,0,10,5,5,-80.38311,25.80978,2865,36,1,0,103,NW 39 ST NW 115 AV, -   , 2 , 2 , 26 , (80), 36-NW 39 ST NW 115 AV , NA , 0 , (1),-20 to 0,TRUE
4790,18008,16108,NW 39 ST@NW 115 AV,D39S1157,49,MI_OTN,0,10278    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10278,5,0,0,0,10,5,5,-80.38316,25.80995,2865,36,1,0,103,NW 39 ST NW 115 AV, -   , 2 , 2 , 26 , (80), 36-NW 39 ST NW 115 AV , NA , 0 , (2),-20 to 0,TRUE
4787,17928,16028,NW 115 AV@# 3800,D11538S3,49,MI_OTN,3,10133    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10133,5,3,0,0,10,5,5,-80.38396,25.80879,2866,36,1,0,104,NW 115 AV # 3800, 2 , 10 , 11 , 26 , (80), 36-NW 115 AV # 3800 , NA , 0 , (8),-20 to 0,TRUE
4788,17929,16029,NW 115 AV@OP # 3800,D11538S2,49,MI_OTN,5,10134    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10134,5,5,0,0,10,5,5,-80.38379,25.80889,2866,36,1,0,104,NW 115 AV # 3800, 2 , 10 , 11 , 26 , (80), 36-NW 115 AV # 3800 , NA , 0 , (6),-20 to 0,TRUE
1066,11235,9335,W 3 CT@W 71 ST,W3CT#713,48,MI_GRD,31,2119     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2119,5,34,0,0,10,5,5,-80.290699,25.887428,2961,37,1,0,2,W 3 CT W 71 ST, 25 , 3 , 28 , 26 , (80), 37-W 3 CT W 71 ST , 11 , 0 , 3 ,0 to 20,TRUE
4200,17536,15636,SW 59 PL@SW 69 ST,C59P#691,50,MI_OTM,7,9244     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9244,5,8,0,0,10,5,5,-80.29049,25.70675,3083,37,1,1,2,SW 59 PL SW 69 ST, 6 , 1 , 7 , 26 , (80), 37-SW 59 PL SW 69 ST , 17 , 0 , 0 ,0 to 20,TRUE
1067,11236,9336,W 3 CT@OP # 6875,W3CT#684,48,MI_GRD,36,2120     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2120,5,40,0,0,10,5,5,-80.290575,25.885188,2962,37,1,0,3,W 3 CT OP # 6875, 37 , 1 , 38 , 26 , (80), 37-W 3 CT OP # 6875 , 11 , 0 , (2),-20 to 0,TRUE
4201,17537,15637,SW 59 PL@SW 68 ST,C59P#682,50,MI_OTM,5,9245     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9245,5,6,0,0,10,5,5,-80.29057,25.70813,3084,37,1,1,3,SW 59 PL SW 68 ST, 4 , 4 , 9 , 26 , (80), 37-SW 59 PL SW 68 ST , 17 , 0 , (4),-20 to 0,TRUE
1070,11239,9339,W 2 CT@# 6680,W2CT#663,48,MI_GRD,10,2123     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2123,5,11,0,0,10,5,5,-80.289299,25.88322,2963,37,1,0,4,W 2 CT # 6680, 11 , 1 , 11 , 26 , (80), 37-W 2 CT # 6680 , 11 , 0 , (1),-20 to 0,TRUE
4202,17538,15638,SW 59 PL@SW 66 ST,C59P#661,50,MI_OTM,2,9246     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9246,5,2,0,0,10,5,5,-80.29063,25.70946,3085,37,1,1,4,SW 59 PL SW 66 ST, 0 , 4 , 4 , 26 , (80), 37-SW 59 PL SW 66 ST , 17 , 0 , (2),-20 to 0,TRUE
1061,11524,9624,W 65 ST@W 2 AV,W65S##26,48,MI_GRD,13,2422     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2422,5,14,0,0,10,5,5,-80.286656,25.881274,2964,37,1,0,5,W 65 ST W 2 AV, 12 , 0 , 13 , 26 , (80), 37-W 65 ST W 2 AV , 11 , 0 , 0 ,0 to 20,TRUE
4197,17533,15633,SW 59 PL@SW 64 ST,C59P#644,50,MI_OTM,3,9240     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9240,5,3,0,0,10,5,5,-80.29096,25.7109,3086,37,1,1,5,SW 59 PL SW 64 ST, 3 , 7 , 9 , 26 , (80), 37-SW 59 PL SW 64 ST , 17 , 0 , (6),-20 to 0,TRUE
4203,17539,15639,SW 59 PL@SW 64 ST,C59P#641,50,MI_OTM,3,9247     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9247,5,3,0,0,10,5,5,-80.29084,25.71114,3086,37,1,1,5,SW 59 PL SW 64 ST, 3 , 7 , 9 , 26 , (80), 37-SW 59 PL SW 64 ST , 17 , 0 , (6),-20 to 0,TRUE
4180,17583,15683,SW 64 ST@SW 60 AV,C64S#608,50,MI_OTM,4,9295     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9295,5,4,0,0,10,5,5,-80.29193,25.71146,3087,37,1,1,6,SW 64 ST SW 60 AV, 3 , 8 , 11 , 26 , (80), 37-SW 64 ST SW 60 AV , 17 , 0 , (7),-20 to 0,TRUE
4207,17584,15684,SW 64 ST@SW 60 AV,C64S#605,50,MI_OTM,1,9296     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9296,5,1,0,0,10,5,5,-80.29189,25.71134,3087,37,1,1,6,SW 64 ST SW 60 AV, 3 , 8 , 11 , 26 , (80), 37-SW 64 ST SW 60 AV , 17 , 0 , (10),-20 to 0,TRUE
4185,17540,15640,SW 62 AV@SW 64 ST,C62V#644,50,MI_OTM,7,9248     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9248,5,8,0,0,10,5,5,-80.2938,25.71055,3088,37,1,1,7,SW 62 AV SW 64 ST, 8 , 9 , 18 , 26 , (80), 37-SW 62 AV SW 64 ST , 17 , 0 , (11),-20 to 0,TRUE
4206,17545,15645,SW 62 AV@SW 64 ST,C62V#641,50,MI_OTM,5,9256     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9256,5,6,0,0,10,5,5,-80.29364,25.71106,3088,37,1,1,7,SW 62 AV SW 64 ST, 8 , 9 , 18 , 26 , (80), 37-SW 62 AV SW 64 ST , 17 , 0 , (13),-20 to 0,TRUE
1056,11183,9283,PALM AV@W 62 ST,PLMV#623,48,MI_GRD,14,2067     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2067,5,15,0,0,10,5,5,-80.283529,25.879048,2967,37,1,0,8,PALM AV W 62 ST, 17 , 0 , 17 , 26 , (80), 37-PALM AV W 62 ST , 11 , 0 , (3),-20 to 0,TRUE
4186,17541,15641,SW 62 AV@SW 68 ST,C62V#683,50,MI_OTM,6,9249     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9249,5,7,0,0,10,5,5,-80.29369,25.70847,3089,37,1,1,8,SW 62 AV SW 68 ST, 6 , 6 , 12 , 26 , (80), 37-SW 62 AV SW 68 ST , 17 , 0 , (6),-20 to 0,TRUE
1057,11184,9284,PALM AV@W 60 ST,PLMV60S4,48,MI_GRD,11,2068     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2068,5,12,0,0,10,5,5,-80.283454,25.876834,2968,37,1,0,9,PALM AV W 60 ST, 10 , 0 , 10 , 26 , (80), 37-PALM AV W 60 ST , 11 , 0 , 1 ,0 to 20,TRUE
4187,17542,15642,SW 62 AV@SW 70 ST,C62V#704,50,MI_OTM,16,9250     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9250,5,18,0,0,10,5,5,-80.29355,25.70559,3090,37,1,1,9,SW 62 AV SW 70 ST, 12 , 3 , 14 , 26 , (80), 37-SW 62 AV SW 70 ST , 17 , 0 , 2 ,0 to 20,TRUE
4193,17593,15693,SW 72 ST@SW 62 AV,C72S#628,50,MI_OTM,11,9310     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9310,5,12,0,0,10,5,5,-80.29446,25.70419,3090,37,1,1,9,SW 62 AV SW 70 ST, 12 , 3 , 14 , 26 , (80), 37-SW 62 AV SW 70 ST , 17 , 0 , (3),-20 to 0,TRUE
4225,17588,15688,SW 72 ST@SW 62 PL,C72S#626,50,MI_OTM,5,9305     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9305,5,6,0,0,10,5,5,-80.29434,25.70396,3090,37,1,1,9,SW 62 AV SW 70 ST, 12 , 3 , 14 , 26 , (80), 37-SW 62 AV SW 70 ST , 17 , 0 , (9),-20 to 0,TRUE
1058,11185,9285,PALM AV@W 58 ST,PLMV#584,48,MI_GRD,5,2069     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2069,5,5,0,0,10,5,5,-80.28338,25.874562,2969,37,1,0,10,PALM AV W 58 ST, 4 , 1 , 5 , 26 , (80), 37-PALM AV W 58 ST , 11 , 0 , (0),-20 to 0,TRUE
4226,17589,15689,SW 72 ST@SW 61 CT,C72S#616,50,MI_OTM,15,9306     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9306,5,17,0,0,10,5,5,-80.29188,25.7041,3091,37,1,1,10,SW 72 ST SW 61 CT, 14 , 5 , 18 , 26 , (80), 37-SW 72 ST SW 61 CT , 17 , 0 , (3),-20 to 0,TRUE
1059,11186,9286,PALM AV@W 55 ST,PLMV#553,48,MI_GRD,4,2070     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2070,5,4,0,0,10,5,5,-80.283349,25.87303,2970,37,1,0,11,PALM AV W 55 ST, 4 , 0 , 4 , 26 , (80), 37-PALM AV W 55 ST , 11 , 0 , (0),-20 to 0,TRUE
4219,17590,15690,SW 72 ST@SW 58 AV,C72S#585,50,MI_OTM,38,9307     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,9307,5,42,0,0,10,5,5,-80.28749,25.70429,3092,37,1,1,11,SW 72 ST SW 58 AV, 35 , 6 , 40 , 26 , (80), 37-SW 72 ST SW 58 AV , 9 , 0 , (2),-20 to 0,TRUE
1060,11187,9287,PALM AV@W 53 TE,PLMV#533,48,MI_GRD,22,2071     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2071,5,24,0,0,10,5,5,-80.283281,25.871285,2971,37,1,0,12,PALM AV W 53 TE, 23 , 4 , 26 , 26 , (80), 37-PALM AV W 53 TE , 11 , 0 , (4),-20 to 0,TRUE
4235,17999,16099,SW 72 ST@SW 57 AV,C72S57V6,50,MI_OTM,16,10252    M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,10252,5,18,0,0,10,5,5,-80.28464,25.70444,3093,37,1,1,12,SW 72 ST SW 57 AV, 12 , 4 , 16 , 26 , (80), 37-SW 72 ST SW 57 AV , 9 , 0 , 0 ,0 to 20,TRUE
1053,11188,9288,PALM AV@W 51 ST,PLMV#514,48,MI_GRD,8,2072     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2072,5,9,0,0,10,5,5,-80.283192,25.86856,2972,37,1,0,13,PALM AV W 51 ST, 9 , 1 , 10 , 26 , (80), 37-PALM AV W 51 ST , 11 , 0 , (2),-20 to 0,TRUE
899,13510,11610,SW 72 ST@SW 54 AV,C72S#545,50,MI_OTM,10,4670     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,4670,5,11,0,0,10,5,5,-80.281937,25.704519,3094,37,1,1,13,SW 72 ST SW 54 AV, 10 , 7 , 17 , 26 , (80), 37-SW 72 ST SW 54 AV , 9 , 0 , (7),-20 to 0,TRUE
288,10221,8321,PALM AV@W 49 ST,PALM49SS,48,MI_GRD,12,299      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,299,5,13,0,0,10,5,5,-80.283132,25.867102,2973,37,1,0,14,PALM AV W 49 ST, 11 , 18 , 29 , 26 , (80), 37-PALM AV W 49 ST , 11 , 0 , (17),-20 to 0,TRUE
301,10192,8292,W 49 ST@PALM AV,PALM49SE,48,MI_GRD,7,258      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,258,5,8,0,0,10,5,5,-80.283417,25.866792,2973,37,1,0,14,PALM AV W 49 ST, 11 , 18 , 29 , 26 , (80), 37-PALM AV W 49 ST , 11 , 0 , (22),-50 to -20,TRUE
1054,11500,9600,W 49 ST@W 1 AV,W49S##17,48,MI_GRD,21,2398     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2398,5,23,0,0,10,5,5,-80.284408,25.866962,2973,37,1,0,14,PALM AV W 49 ST, 11 , 18 , 29 , 26 , (80), 37-PALM AV W 49 ST , 11 , 0 , (8),-20 to 0,TRUE
900,13511,11611,SW 72 ST@SW 53 AV,C72S#535,50,MI_OTM,6,4671     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,4671,5,7,0,0,10,5,5,-80.279202,25.704661,3095,37,1,1,14,SW 72 ST SW 53 AV, 8 , 5 , 13 , 26 , (80), 37-SW 72 ST SW 53 AV , 9 , 0 , (7),-20 to 0,TRUE
901,13512,11612,SW 72 ST@SW 52 AV,C72S#525,50,MI_OTM,10,4672     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,4672,5,11,0,0,10,5,5,-80.277337,25.704743,3096,37,1,1,15,SW 72 ST SW 52 AV, 10 , 7 , 17 , 26 , (80), 37-SW 72 ST SW 52 AV , 9 , 0 , (7),-20 to 0,TRUE
1216,11189,9289,PALM AV@W 4800,PLMV#484,48,MI_GRD,53,2073     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2073,5,59,0,0,10,5,5,-80.283108,25.865943,2974,37,1,0,15,PALM AV W 4800, 47 , 4 , 52 , 26 , (80), 37-PALM AV W 4800 , 11 , 0 , 1 ,0 to 20,TRUE
164,10919,9019,SW 72 ST@MENTONE ST,C72SMEN8,50,MI_OTM,0,1742     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,1742,5,0,0,0,10,5,5,-80.274999,25.704932,3097,37,1,1,16,SW 72 ST MENTONE ST, 0 , -   , 0 , 26 , (80), 37-SW 72 ST MENTONE ST , 9 , 0 , (0),-20 to 0,TRUE
902,13513,11613,SW 72 ST@MENTONE ST,C72SMEN5,50,MI_OTM,1,4673     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,4673,5,1,0,0,10,5,5,-80.275089,25.704847,3097,37,1,1,16,SW 72 ST MENTONE ST, 0 , -   , 0 , 26 , (80), 37-SW 72 ST MENTONE ST , 9 , 0 , 1 ,0 to 20,TRUE
1217,11190,9290,PALM AV@# 4500 (APPROX),PLMV#454,48,MI_GRD,17,2074     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2074,5,19,0,0,10,5,5,-80.282991,25.863175,2975,37,1,0,16,PALM AV # 4500, 17 , 2 , 20 , 26 , (80), 37-PALM AV # 4500 , 11 , 0 , (3),-20 to 0,TRUE
903,13514,11614,SW 72 ST@SW 49 AV,C72S#495,50,MI_OTM,10,4674     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,4674,5,11,0,0,10,5,5,-80.273557,25.704871,3098,37,1,1,17,SW 72 ST SW 49 AV, 10 , 8 , 18 , 26 , (80), 37-SW 72 ST SW 49 AV , 9 , 0 , (8),-20 to 0,TRUE
1218,11191,9291,PALM AV@W 43 ST,PLMV#433,48,MI_GRD,10,2075     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2075,5,11,0,0,10,5,5,-80.282923,25.861482,2976,37,1,0,17,PALM AV W 43 ST, 9 , 1 , 10 , 26 , (80), 37-PALM AV W 43 ST , 11 , 0 , 0 ,0 to 20,TRUE
904,13515,11615,SW 72 ST@SW 47 AV,C72S#475,50,MI_OTM,13,4675     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,4675,5,14,0,0,10,5,5,-80.269136,25.705051,3099,37,1,1,18,SW 72 ST SW 47 AV, 15 , 8 , 22 , 26 , (80), 37-SW 72 ST SW 47 AV , 9 , 0 , (9),-20 to 0,TRUE
1209,11192,9292,PALM AV@W 41 ST,PLMV#413,48,MI_GRD,13,2076     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2076,5,14,0,0,10,5,5,-80.282871,25.859854,2977,37,1,0,18,PALM AV W 41 ST, 12 , 3 , 15 , 26 , (80), 37-PALM AV W 41 ST , 11 , 0 , (2),-20 to 0,TRUE
905,13516,11616,SW 72 ST@CAMARIN ST,C72SCAM5,50,MI_OTM,0,4676     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,4676,5,0,0,0,10,5,5,-80.267548,25.70508,3100,37,1,1,19,SW 72 ST CAMARIN ST, 1 , -   , 1 , 26 , (80), 37-SW 72 ST CAMARIN ST , 9 , 0 , (1),-20 to 0,TRUE
1210,11193,9293,PALM AV@APPROX # 3950(39 PL),PLMV#394,48,MI_GRD,42,2077     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2077,5,46,0,0,10,5,5,-80.282793,25.857927,2978,37,1,0,19,PALM AV APPROX # 3950, 43 , 13 , 56 , 26 , (80), 37-PALM AV APPROX # 3950 , 11 , 0 , (14),-20 to 0,TRUE
192,10913,9013,SW 72 ST@ALMANSA ST,C72SALM6,50,MI_OTM,12,1736     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,1736,5,13,0,0,10,5,5,-80.264866,25.705193,3101,37,1,1,20,SW 72 ST ALMANSA ST, 12 , 9 , 21 , 26 , (80), 37-SW 72 ST ALMANSA ST , 9 , 0 , (9),-20 to 0,TRUE
1211,11194,9294,PALM AV@W 37 ST,PLMV#374,48,MI_GRD,16,2078     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2078,5,18,0,0,10,5,5,-80.282711,25.855608,2979,37,1,0,20,PALM AV W 37 ST, 14 , 2 , 16 , 26 , (80), 37-PALM AV W 37 ST , 11 , 0 , 0 ,0 to 20,TRUE
191,10229,8329,SW 72 ST@OLD CUTLER RD,COCOPLUN,50,MI_OTM,40,309      M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,309,5,44,0,0,10,5,5,-80.26141,25.705306,3102,37,1,1,21,SW 72 ST OLD CUTLER RD, 39 , 14 , 53 , 26 , (80), 37-SW 72 ST OLD CUTLER RD , 9 , 0 , (13),-20 to 0,TRUE
193,10624,8724,COCOPLUM PLAZA CIRCLE,COCOPLUX,51,MI_OTS,7,1338     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,1338,5,8,0,0,10,5,5,-80.260824,25.705401,3102,37,1,1,21,SW 72 ST OLD CUTLER RD, 39 , 14 , 53 , 26 , (80), 37-SW 72 ST OLD CUTLER RD , 9 , 0 , (46),-50 to -20,TRUE
1212,11195,9295,PALM AV@W 34 ST,PLMV#344,48,MI_GRD,14,2079     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,2079,5,16,0,0,10,5,5,-80.282607,25.852558,2980,37,1,0,21,PALM AV W 34 ST, 17 , 7 , 24 , 26 , (80), 37-PALM AV W 34 ST , 11 , 0 , (10),-20 to 0,TRUE
