,,STOPS MODEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC Collected Data (Flagler),,,,,,,,,,,,,,,
FID_1,ID,STATIONSEQ,STATION,STAT_CODE,STAT_GRP,GRP_NAME,DAILYBOARD,STOP_ID1,STOP_ID2,STOP_ID3,STOP_ID4,STOPSTYPE,NEWSTATION,Agency,FGSTP,STOPSTYPEB,PNR_PEN,DIFFGTFX,WALK_PEN,SAMEGTFX,STPID,KNR_PEN,BoardingBC,LAT,LONG,WPenBK,PpenBK,KpenBK,POINT_X,POINT_Y,FID_2,ROUTE,DAY,DIR,STOP,STOPNAME, DAY_ON , DAY_OFF , DAY_TOT , LAT_1 , LONG_1 , key , District , Distance , Difference ,bin,include.lowest
4449,17164,15264,N MIAMI AV@NW 125 ST,NMAV1253,45,MI_NE,2,8825     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8825,5,2,0,0,10,5,5,-80.19873,25.89015,1263,2,1,0,28,N MIAMI AV NW 125 ST, 3 , 5 , 8 , 26 , (80), 2-N MIAMI AV NW 125 ST , 10 , 0 , (6),-20 to 0,TRUE
4450,17245,15345,NE 125 ST@N MIAMI AV,A125NMV7,45,MI_NE,6,8909     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8909,5,7,0,0,10,5,5,-80.19819,25.88981,1263,2,1,0,28,N MIAMI AV NW 125 ST, 3 , 5 , 8 , 26 , (80), 2-N MIAMI AV NW 125 ST , 10 , 0 , (2),-20 to 0,TRUE
4451,17246,15346,NW 125 ST@NW 1 AV,D125##17,45,MI_NE,2,8910     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8910,5,2,0,0,10,5,5,-80.20052,25.88971,1263,2,1,0,28,N MIAMI AV NW 125 ST, 3 , 5 , 8 , 26 , (80), 2-N MIAMI AV NW 125 ST , 10 , 0 , (6),-20 to 0,TRUE
4461,17220,15320,NW 125 ST@NW 1 AV,D125##16,45,MI_NE,9,8884     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8884,5,10,0,0,10,5,5,-80.20043,25.88959,1263,2,1,0,28,N MIAMI AV NW 125 ST, 3 , 5 , 8 , 26 , (80), 2-N MIAMI AV NW 125 ST , 10 , 0 , 1 ,0 to 20,TRUE
2551,15486,13586,NW 2 AV@NW 47 TE,D2AV#472,46,MI_FRG,5,6966     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6966,5,6,0,0,10,5,5,-80.19968,25.81945,1362,2,1,1,29,NW 2 AV NW 47 TE, 5 , 11 , 15 , 26 , (80), 2-NW 2 AV NW 47 TE , 10 , 0 , (10),-20 to 0,TRUE
4459,17165,15265,N MIAMI AV@NW 123 TE,NMAV1233,45,MI_NE,17,8826     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8826,5,19,0,0,10,5,5,-80.19864,25.88834,1264,2,1,0,29,N MIAMI AV NW 123 TE, 5 , 1 , 6 , 26 , (80), 2-N MIAMI AV NW 123 TE , 10 , 0 , 11 ,0 to 20,TRUE
2552,15487,13587,NW 2 AV@NW 49 ST,D2AV#492,46,MI_FRG,12,6967     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6967,5,13,0,0,10,5,5,-80.19972,25.82091,1363,2,1,1,30,NW 2 AV NW 49 ST, 10 , 21 , 31 , 26 , (80), 2-NW 2 AV NW 49 ST , 10 , 0 , (19),-20 to 0,TRUE
4460,17166,15266,N MIAMI AV@NW 121 ST,NMAV1214,45,MI_NE,11,8827     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8827,5,12,0,0,10,5,5,-80.19856,25.88644,1265,2,1,0,30,N MIAMI AV NW 121 ST, 1 , 1 , 2 , 26 , (80), 2-N MIAMI AV NW 121 ST , 10 , 0 , 9 ,0 to 20,TRUE
259,10012,8112,N MIAMI AV@NW 119 ST,119SMIAS,45,MI_NE,9,17       M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,17,5,10,0,0,10,5,5,-80.198518,25.885099,1266,2,1,0,31,N MIAMI AV NW 119 ST, 9 , 5 , 14 , 26 , (80), 2-N MIAMI AV NW 119 ST , 10 , 0 , (5),-20 to 0,TRUE
2553,15488,13588,NW 2 AV@NW 51 ST,D2AV#511,46,MI_FRG,8,6968     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6968,5,9,0,0,10,5,5,-80.1998,25.82221,1364,2,1,1,31,NW 2 AV NW 51 ST, 7 , 11 , 17 , 26 , (80), 2-NW 2 AV NW 51 ST , 10 , 0 , (9),-20 to 0,TRUE
